Title,First Paragraph
Rod Steiger,<START> Ni Rodney Stephen 'Rod' Steiger ket maysa idi nga Amerikano nga aktor. Ti panangipapelna iti In the Heat of the Night ket nangabakanna iti Kalaingan nga Aktor. <END>
Hannibal Hamlin,"<START> Ni Hannibal Hamlin ket isu idi ti Maika-15 a Bise Presidente iti Estados Unidos (1861-1865), a nagserbi babaen ni Presidente Abraham Lincoln idi panawen ti Sibil a Gubat ti Amerikano. Isu idi ti immuna a Bise Presidente manipud iti Partido Republikano. <END>"
Alben W. Barkley,"<START> Ni Alben William Barkley ket nagserbi a kas ti maika-35 a Bise Presidente iti Estados Unidos (1949–1953), baben ni Presidente Harry S. Truman. Isu ket kameng ti Partido Demokratiko, isu ket dati a nagserbi a kas ti Pannakabagi ti E.U. (1913–1927) ken maysa a Senador (1927–1949) manipud idiay Kentucky. Isu ket nagserbi a kas ti Daulo ti Kaaduan ti Senado manipud idi 1937 aginggana idi 1947. <END>"
Louis de Funès,"<START> Ni Louis de Funès, naiyanak a kas ni Louis Germain David de Funès de Galarza, ket popular idi a Pranses nga aktor iti Espaniol a taudan ken maysa kadgiti nadayeg iti Pranses a komedia a kakuyogna da André Bourvil ken Fernandel. <END>"
Svetlana Alexievich,"<START> Ni Svetlana Alexandrovna Alexievich ket Bieloruso nga inbestigatibo nga agiwarwarnak, ken mannurat ti prosa. Isu ket nagungunaan iti Premio Nobel iti Literatura iti 2015 'para kadagiti poliponiko nga insursuratna, ti munomento iti panagsagsagaba ken kinatured iti panawentayo'. Isu idi ti immuna nga agiwarwarnak ken ti immuna a mannurat manipud idiay Bielorusia a nangabak iti gunguna. <END>"
Jim Varney,"<START> Ni James Albert 'Jim' Varney, Jr., ket Amerikano nga aktor ken komidiante. <END>"
Eddie Redmayne,"<START> Ni Edward John David 'Eddie' Redmayne,(; nayanak idi 6 Enero 1982) ket maysa nga Ingles nga aktor, modelo ken kumakanta. Isu naiyanak ken dimmakkel idiay Siudad ti Westminster, nagadal ti pakasaritaan ti arte ni Redmayne idiay Trinity College, Cambridge, ken kalpasanna napan met bassit iti karer iti panagmodelo. Inrugi ni Redmayne ti karerna iti panangiladawan a kas maysa nga ubing idiay teatro ti Londres sakbay iti panagrugina iti pelikula idi 1998 kadagiti panagparang a kas bisita iti telebision. Dagiti immuna a papelna iti pelikula ket immay idi 2006 iti Like Minds ken The Good Shepherd, ken napan kadagiti suporta a panagpapel kadagiti nadumaduma a pelikula a mairaman ti Savage Grace (2007), Elizabeth: The Golden Age (2007), ken ti The Other Boleyn Girl (2008). <END>"
Michael Jackson,"<START> Ni Michael Joseph Jackson ket maysa idi nga Amerikano a kumakanta ken mannurat ti kanta, sumasala, negosiante, ken pilantropo. Isu ken masansan a makunkuna a ti King of Pop, wenno ti pangyababaan ti naganna iti MJ, Ni Jackson ket mabigbigan nga isu ti kaballigian a mangliwliwa iti amin a panawen babaen ti Guinness World Records. Dagiti kontribusionna iti musika, sala, ken moda, a kakuyog ti naidayegan a personal a biagna, ket nangaramid kaniana a pigura iti sangalubongan iti nadayeg a kultura para kadagiti nasurok nga uppat a dekada. <END>"
Jason Bateman,<START> Ni Jason Kent Bateman ket aktor ken produser manipud iti Estados Unidos. <END>
Andrew Pawley,"<START> Ni Andrew Kenneth Pawley, MA, PhD (Auckland), FRSNZ, FAHA, ket Propesor Emeritus iti Eskuela ti Kultura, Pakasaritaan ken Pagsasao iti Kolohio ti Asia ken ti Pasipiko iti Nailian nga Unibersidad ti Australia. Naiyanak ni Pawley idiay Sydney ngem immalis idiay Baro a Selanda idi agtawen iti 12. <END>"
Imelda Marcos,<START> Ni Imelda Remedios Visitación Trinidad Romuáldez-Marcos ket maysa a politiko iti Filipinas ket asawa ni Presidente Ferdinand E. Marcos. <END>
Anna Anderson,"<START> Ni Anna Anderson ket isu idi ti kaaduan nga ammo kadagiti impostor a nagtunton nga isuda ti Nalatak a Dukesa ti Rusia. Ni Anastasia, ti buridek nga anak a babai ti naudi a Tsar ken Tsarina ti Rusia, Nicolas II ken ni Alejandra, ket pinatay idi a mairaman dagiti nagannak ket kakabsatna idi 17 Hulio 1918 babaen dagiti rebolusionario a komunista idiay Ekaterimburgo, Rusia; ngem ti lokasion ti bangkayna ket di ammo aginggana idi 2007. <END>"
Jessy Mendiola,"<START> Ni Jessy Mendiola ket maysa a Filipina nga aktres. <END>"
Juan Luna,"<START> Ni Juan Novicio Luna ket maysa idi a Filipino a pintor, agkitkitikit ken aktibista iti politika iti Yaalsa ti Filipino idi las-ud ti naladaw a maika-19 a siglo. Isu ket nagbalin kadagiti maysa nga immuna a nabigbigan nga artista iti Filipinas. <END>"
Marjorie Estiano,"<START> Ni Marjorie Dias de Oliveira ket maysa a Brasiliana nga aktress ken kumakanta. Isu ket dimmayeg idi 2004 bayat a nangipapel ti Natasha dagiti Brasiliano a serie ti agtutubo ti Malhação. Isu ti nagbida kadagiti tallo a telenobela, ti bida nga antagonista iti maysa pay kenbida a papel iti 2013 a pelikula ti O Tempo e o Vento. <END>"
Sauli Niinistö,<START> Ni Sauli Väinämö Niinistö ket isu ti maika-12 ken agdama a Presidente ti Pinlandia. <END>
Tarja Halonen,"<START> Ni Tarja Kaarina Halonen ket taga-Pinlandia a politiko ken isu idi ti maika-11 a Presidente ti Pinlandia, ken nagserbi manipud idi 2000 aginggana idi 2012. Isu idi ti immuna a babai a daulo ti estado idiay Pinlandia ken bayat nga adda iti opisina, idi 2003 ken 2010-11, ti Pinlandia ket addaan pay iti babbai a kangrunaan a ministro. Ni Halonen ket nagtengngel kadagiti dua a pannakaidutok a kas ministro ken nagserbi a kas kameng ti parlamento manipud idi 1979 aginggana idi 2000 aginggana iti pannakabutosna a kas presidente. <END>"
Brie Larson,"<START> Ni Brianne Sidonie Desaulniers, ammo iti propesion a kas ni Brie Larson, ket maysa nga Amerikana nga aktres ken kumakanta. Naiyanak idiay Sacramento, California, ni Larson nasursuruan idi iti balayda sakbay a nagbasa iti panagakte iti American Conservatory Theater. Inrugina ti karerna iti akte iti telebision, ken kankanayon a nagparparang kadagiti sitcom idi 2001 iti Raising Dad, ken isu daytoy ti nakainominaduanna para iti Young Artist Award. <END>"
Camila Pitanga,"<START> Ni Camila Manhães Sampaio ket maysa nga aktres iti teatro, pelikula ken telebision manipud idiay pagilian ti Brasil. <END>"
Lea Salonga,<START> Ni Maria Lea Carmen Imutan Salonga ket maysa a Filipino Amerikano nga am-ammo kas ni Lea Salonga. <END>
Peter Finch,"<START> Ni Frederick George Peter Ingle Finch ket naiyanak nga Ingles nga Australiano nga aktor. Isu ket kaaduan a malaglagip para iti papelna a kas ni Howard Beale iti pelikula ti Network, ket isu daytoy ti nangabakanna ti kalpasan idi natay iti Kalaingan nga Aktor, ti maikalima a Kalaingan nga Aktor a gungunana manipud iti BAFTA, ken ti Kalaingan nga Aktor agunguna manipud iti Golden Globes. Isu idi ti immuna nga aktor a nagungunaan ti Gunguna ti Akademia idi natayen iti kategoria ti panagarte. <END>"
Mikhail Baryshnikov,"<START> Ni Mikhail Nikolayevich Baryshnikov, agbirngas iti 'Misha', ket ti naiyanak idiay Letonia a Ruso-Amerikano a sumasala; korepgrapo, ken aktor a naiyanak idi panawen ti Kappon ti Sobiet, kankanayon a nadakdakamat a kaduan da Vaslav Nijinsky ken Rudolf Nureyev a kas maysa kadagiti kalaingan a sumasala iti balet iti pakasaritaan. <END>"
Lionel Barrymore,"<START> Ni Lionel Barrymore ket maysa idi nga Amerikano nga aktor ti entablado, sine ken radio ken direktor pay ti pelikula. Isu ket nangabak iti Kalaingan nga Aktor para iti panangipapelna iti A Free Soul (1931), ken agtultuloy a kaaduan nga ammo kadagiti moderno nga agbuybuya para iti papelna iti karakter a ni Mr. Potter iti 1946 a pelikula ni Frank Capra iti It's a Wonderful Life. Isu ket malaglagip pay a kas ni Ebenezer Scrooge iti tinawen a panagpabuya iti A Christmas Carol kadagiti naudi a dua a dekadana. Isu ket kamemng ti teatrikal a pamilia Barrymore. <END>"
Diego Velázquez,"<START> Ni Diego Rodríguez de Silva y Velázquez ket maysa idi nga Espaniol a pintor nga isu idi ti nangidaulo nga artista idiay korte ni Ari Felipe IV. Isu ket maysa idi nga indibidualistiko nga artista iti kontemporario a paset ti panawen a Baroko, nangruna a kas maysa a retrato nga artista. Iti maipatinayon kadagiti nadumaduma a panagaramidna kadagiti ladawan ti naipakasaritaan ken kultural a kaisangayan, isu ket nagpinpinta kadagiti adu a retrato dagiti naarian a pamilia ti Espania, ken dagiti dadduma paya natakneng nga Europeano a pigura, ken dagiti kadawyan, ken nagpatpatingga iti panagpataud ti obra maestrana a Las Meninas (1656). <END>"
William R. King,<START> Ni William Rufus DeVane King ket maysa idi nga Amerikano a politiko ken diplomata. Isu idi ti maika-13 a Bise Presidente iti Estados Unidos iti agarup nga innem a dominggo idi 1853 sakbay a pimmusay. Isu ket immuna a nabutosan a kas ti Pannakabagi iti Estados Unidos manipud idiay North Carolina ken maysa a Senador manipud idiay Alabama. Isu ket nagserbi pay a kas ti Ministro idiay Pransia. <END>
John Nance Garner,"<START> Ni John Nance Garner IV, ket maysa idi nga Amerikano a politiko a Demokratiko ken maysa nga aboga manipud idiay Texas. Isu ket maysa idi a pannakabagi ti estado manipud idi 1898 aginggana idi 1902, ken Pannakabagi ti E.U. manipud idi 1903 aginggana idi 1933. Isu idi ti maika-44 a Tagabitla ti Kamara idi 1931–1933. Idi 1932, isu ketnabutosan a kas ti maika-32 a Bise Presidente iti Estados Unidos, a nagserbi manipud idi 1933 aginggan idi 1941. Isu ket maysa a konserbatibo a Taga-abagatan, ni Garner ket sinuppiatan dagiti panagtugaw a welga dagiti kappon ti agobobra ken ti kurang a panaggastu ti Baro a Tulag. Isu ket nakisina kenni Presidente Franklin D. Roosevelt idi kasapaan ti 1937 gapu ti banag a pabnagpadakkel ti Kangatuan a Korte, ken timmulong ti panakapaay daytoy iti panakaibatayan a daytoy ket agipatengnga unay ti adu a bileg para iti Presidente. <END>"
Levi P. Morton,<START> Ni Levi Parsons Morton ket maysa idi a Pannakabagi manipud iti New York ken ti maika-22 a Bise Presidente iti Estados Unidos (1889–1893). Kalpasan daytoy ket nagserbi pay a maika-31 a Gobernador iti New York. <END>
Thomas R. Marshall,"<START> Ni Thomas Riley Marshall ket maysa idi nga Amerikano a plolitiko a Demokratiko a nagserbi a kas ti maika-28 a Bise Presidente ti Estados Unidos (1913–1921) babaen ni Presidente Woodrow Wilson. Maysa idi a prominente nga abogado idiay Indiana, isu ket nagbalin nga aktibo ken nadayeg a naamammoan a kameng ti Partido Demokratiko ti Indiana babaen ti panagpungpon ti ballasiw ti estado para kadagiti kandidato ken panag-urnos kadagiti dakkel a gimongan ti partido ken kalpasan daytoy ket timmulong kaniana a nangabak ti panagbutos a kas ti maika-27 a Gobernador iti Indiana. Idi adda ti opisina, isu ket nangidiaya ti maysa a kontrobersial ken progresibo a batay-linteg ti estado ken nagipandag para kadagiti sabsabali a progresibo a panawen a reporma. Ti Republikano a minoridad ket nagusar kadagiti korte ti estado tapno tipdenda ti panagpadas a panagbalbaliw ti batay-linte. <END>"
Darrell Tryon,"<START> Ni Darrell T. Tryon ket maysa id a taga-Baro a Selanda a lingguista, akademiko, ken espesialista iti sasao nga Austronesio. Naipagpangruna nga espesialisado ni Tryon iti panagadal kadagiti pagsasao ti Is-isla Pasipiko, ken naipangparuna iti Vanuatu, ti Is-isla ti Solomon, ken ti agsasao iti Pranses a Pasipiko. <END>"
Hesús,"<START> Ni Hesús, am-ammo pay kas Hesús ti Nazareth wenno Hesús Nasareno, ket maysa a Hudio ken isu ti nakaitalimudokan ti Kristianidad. Ti uppat nga Ebangelio da Mateo, Marcos, Lucas, ken Juan dagiti kangrunaan a pakaammuan iti kabibiag ken pannursuro ni Hesús a mabigbig kas Hesukristo wenno Mesias iti kaaduan a Kristiano a mamati nga isuna ti Kristo wenno Mesias nga Anak ti Dios Ama. <END>"
Marian Rivera,"<START> Ni Marian Rivera Dantes, ammo iti propesion a kas ni Marian Rivera, ket Espaniol-Filipina a modelo ti komersio ken aktres. <END>"
Elvis Presley,"<START> Ni Elvis Aaron Presley ket maysa idi kadagiti kadayegan nga Amerikano a kumakanta ti maika-20 a siglo. Maysa a kultural nga ikono, isu ket nawatiwat a naamammoan babaen ti maymaysa a nagan nga Elvis. Isu ket kankanayon a maitudtudo a kas ti 'Ari ti Rock and Roll' wenno 'ti Ari'. <END>"
Karlomagno,"<START> Ni Karlomagno, ammo pay a kas ni Karlos ti Natan-ok wenno Karlos I, ket isu idi ti nangbangon ti Imperio a Karolingio, a nagturay manipud idi 768 aginggana idi pimmusay. Isu ti nangpadakkel ti Pranko a Pagarian, a naginaynayon ti Italia, a nagparukma kadagiti Sahon ken dagiti Babaro, ken nangiduron ti prontiero idiay Espania. Isu ti kinauna nga anak a lalaki ni Pepin ti Pandek ken Bertrada ti Laon, ni Karlomagno ket isu idi ti immuna nga 'Emperador' idiay Akinlaud nga Europa manipud iti pannakarebba ti Imperio a Romano idi sakbay ti uppat a siglo. <END>"
Avril Lavigne,"<START> Ni Avril Ramona Lavigne ket Kanadiana kumakanta ken aktres. Isu ket naiyanak idiay Belleville, Ontario, ken dimmakel idiay ili ti Greater Napanee. <END>"
Galileo Galilei,"<START> Ni Galileo Galilei, ket maysa idi nga Italiano a pisisista, matematiko, astronomo, ken pilosopo nga isu ket adda ti nangruna a papel iti Sientipiko a Rebolusion. Dagiti nagun-odanna ket mairaman ti pannakapasayaat ti teleskopio ken dagiti nagbanagan ti astronomiko a panagpalpaliiw ken ti panagsuporta para iti Kopernikanismo. Ni Galileo ket tinawtawagan idin a kas ti 'ama ti moderno a mapalpaliiw nga astronomia astronomia', i 'ama ti moderno a pisika', ti 'ama ti siensia', ken 'ti Ama ti Moderno a Siensia'. <END>"
Momoko Kōchi,"<START> Ni Momoko Kōchi  naiyanak a kas ni Momoko Ōkōchi , ket Haponesa nga aktres idi iti enteblado ken telebision. Isu ket naipasngay idi idiay Hapon. <END>"
Jean-Claude Duvalier,"<START> Ni Jean-Claude Duvalier, nabirngasan iti 'Bébé Doc' wenno 'Baby Doc', ket isu idi ti Presidente ti Haiti fmanipud idi 1971 aginggana idi pinarmek babaen ti nadayeg a yaalsa idi 1986. Sinarunona ni amana a ni François 'Papa Doc' Duvalier a kas agturturay iti Haiti kalpasan idi pimmusay ti amana idi 1971. Kalpasan idi nagtakem, isu ket nagipayammo kadagiti kosmetiko a panagbalbaliw iti turay ti amana ken nangidelegado iti adu a katurayan kadagiti nagbalbalakad kaniana, numan pay met a rinibu dagiti taga-Haiti a nantnatay wenno nadusdusa, ken ginasut a ribribu met dagiti pimmanaw iti pagilian. <END>"
James S. Sherman,"<START> Ni James Schoolcraft Sherman ket maysa idi a Pannakabagi ti Estados Unidos manipud idiay New York ken ti maika-27 a Bise Presidente iti Estados Unidos, 1909-1912 babaen ni William Howard Taft. Isu ket kameng idi dagiti agkakabagian pamilia ti Baldwin, Hoar, ken Sherman, dagiti prominente nga abogado ken politiko iti New England. <END>"
William A. Wheeler,<START> Ni William Almon Wheeler ket maysa idi a Pannakabagi manipud iti New York ken ti maika-19 a Bise Presidente iti Estados Unidos (1877–1881). <END>
Adlai Stevenson I,"<START> Ni Adlai Ewing Stevenson I ket isu idi ti Kongresista manipud idiay Illinois. Isu ket nadutokan a Katakunaynay a Administrador ti koreo Heneral ti Estados Unidos idi panawen ti immuna nga administrasion ni Grover Cleveland (1885–1889), idi iisu ket nagikkat kadagiti adu nga agob-obra ti koreo a Republikano ken sinukatanna idia kadagiti Taga-abagatan a Demokrata. Daytoy ti nakagun-odanna kadagiti gimmura iti tinengtengngel ti Republikano a Kongreso, ngem nakaaramid kaniana a paborito a kaduana a timmarayan ni Grover Cleveland idi 1892, ken isu ti nagbalin a maika-23 a Bise Presidente iti Estados Unidos. <END>"
Garret Hobart,"<START> Ni Garret Augustus Hobart ket isu iditi maiak-24 a Bise Presidente iti Estados Unidos (1897–1899), a nagserbi babaen ni Presidente William McKinley. Isu ti maikanem a bise presidente a natay bayat nga adda ti opisina. <END>"
Thomas A. Hendricks,"<START> Ni Thomas Andrews Hendricks ket maysa idi nga Amerikano a politiko a nagserbi a kas maysa a Pannakabagi ken maysa a Senador manipud idiay Indiana, ti maika-16 a Gobernador iti Indiana (1873–1877), ken ti maika-21 a Bise Presidente iti Estados Unidos (1885). Ti immuna a Demokratiko a gobernador a nabutosan idiay Akin-amianan nga Estados Unidos kalpasan ti Sibil a Gubat ti Amerikano, ken nagsalsalabnik ti Demokratiko a puesto idiay Senado ido panawen ti gubat, ni Hendricks ket napardas a dimakkel ti kadayegna kadagiti nailian apartido. Kalpasan ti dua a napaay a panagpadasna ti panagabakk ti opisina ti gobernador, ti terminona ket namarkaan babaen ti Derraaw iti 1873, a daytoy ket nangsagepsep kadagiti kaaduan nga enerhiana. Isu ket sinuppiaten ti babaen ti napigsa a kaaduan dagiti Republikano idiay Sapasap nga Asemblia ti Indiana, ken saan a nakatignay kadagiti aniaman a naisangsangayan a lehislasion. Ni Hendricks ket isu idi ti napaay a kanditato para iti Bise Presidente ti Demokratiko nga etiketa ni Samuel Tilden iti kontrobersial a panagbutos ti presidente idi 1876. Urayno ti napaay a salunatna, isu ket nangawat ti nominasion ti partidona tapno agtaray para iti Bise presidente ti panagbutos idi 1884 a kas ti kumadduaan a tumarayan ni Grover Cleveland, ken nagserbi iti dayta nga opisina aginggana ti ipupusayna kalpasan ti walo a bulan. <END>"
George M. Dallas,"<START> Ni George Mifflin Dallas ket maysa idi a Senador ti E.U. manipud idiay Pennsylvania ken ti Maika-11 a Bise Presidente iti Estados Unidos (1845–1849), a nagserbi babaen ni James K. Polk. <END>"
Schuyler Colfax,"<START> Ni Schuyler Colfax, Jr. ket isu idi ti Pannakabagi ti Estados Unidos manipud idiay Indiana (1855–1869), Tagabitla ti Kamara dagiti Pannakabagi (1863–1869), ken ti maika-17 a Bise Presidente iti Estados Unidos (1869–1873). Iti tatta nga aldaw, isu ket maysa laeng kadagiti dua nga Amerikano a nagserbi a Tagabitla ti Kamara ken bise presidente. <END>"
Warner Baxter,"<START> Ni Warner Leroy Baxter ket maysa idi nga Amerikano nga aktor ken kaaduan nga ammo iti papelna a kas The Cisco Kid iti In Old Arizona (1929) a nangabakanna ti maikadua a, for which he won the second Kalaingan nga Aktor kadagiti Gunguna ti Akademia kadagidi tawen ti 1928–1929. <END>"
José Ferrer,"<START> Ni José Vicente Ferrer de Otero y Cintrón, ammo a kas ni José Ferrer,ket maysa idi a taga-Puerto Rico nga aktor, direktor ti teatro ken pelikula. Isu ti immuna a taga-puertorico nga aktor, ken isu pay ti immuna Hispaniko nga aktor a nangabak iti Gunguna ti Akademia. <END>"
