Title,First Paragraph
Nur Misuari,"Nur Misuari is a Moro Filipino revolutionary and politician, founder and leader of the Moro National Liberation Front."
Ryu Jun-yeol,"Ryu Jun-yeol is a South Korean actor, activist, and photographer. Ryu began his acting career in independent films, he drew attention from the audience for his role in feature film Socialphobia (2015), where he won both the Rising Star Award at KAFA Film Festival and Chunsa Film Art Awards. He rose to international prominence through his breakthrough role in the critically acclaimed television series Reply 1988 (2015–2016), the highest-rated drama in Korean cable television history at the time, which also led to him winning various Best New Actor Awards in South Korea. Known as a prolific Chungmu-ro actor, since then he has starred in the box-office hit films The King (2017), A Taxi Driver (2017), Little Forest (2018), Believer (2018), Money (2019), The Battle: Roar to Victory (2019), and The Night Owl (2022)."
Kate Winslet,"Kate Elizabeth Winslet is an English actress. Known for her roles as headstrong and complicated women in independent films, particularly period dramas, she has received numerous accolades, including an Academy Award, a Grammy Award, two Primetime Emmy Awards, five BAFTA Awards and five Golden Globe Awards. Time magazine named Winslet one of the 100 most influential people in the world in 2009 and 2021. She was appointed Commander of the Order of the British Empire (CBE) in 2012."
Mae West,"Mary Jane ""Mae"" West was an American actress, singer, comedian, screenwriter, and playwright whose career spanned over seven decades. Considered a sex symbol, she was known for her breezy sexual independence and her lighthearted bawdy double entendres, often delivered in a husky contralto voice. She was active in vaudeville and on stage in New York City before moving to Los Angeles to begin a career in the film industry."
Brahmagupta,"Brahmagupta was an Indian mathematician and astronomer. He is the author of two early works on mathematics and astronomy: the Brāhmasphuṭasiddhānta, a theoretical treatise, and the Khaṇḍakhādyaka, a more practical text."
Spiro Agnew,"Spiro Theodore Agnew was the 39th vice president of the United States, serving from 1969 until his resignation in 1973. He is the second of two vice presidents to resign the position, the first being John C. Calhoun in 1832."
Claudette Colbert,"Émilie Chauchoin, professionally known as Claudette Colbert, was an American actress. Colbert began her career in Broadway productions during the late 1920s and progressed to films with the advent of talking pictures. Initially contracted to Paramount Pictures, Colbert became one of the few major actresses of the period who worked freelance, independent of the studio system."
Paul Ryan,"Paul Davis Ryan is an American politician who served as the 54th speaker of the United States House of Representatives from 2015 to 2019. A member of the Republican Party, he was the vice presidential nominee in the 2012 election with Mitt Romney, but they lost to incumbent President Barack Obama and Vice President Joe Biden."
Charles de Gaulle,"Charles André Joseph Marie de Gaulle was a French army officer and statesman who led the Free French Forces against Nazi Germany in World War II and chaired the Provisional Government of the French Republic from 1944 to 1946 to restore democracy in France. In 1958, amid the Algerian War, he came out of retirement when appointed Prime Minister by President René Coty. He rewrote the Constitution of France and founded the Fifth Republic after approval by referendum. He was elected President of France later that year, a position he held until his resignation in 1969."
Frances McDormand,"Frances Louise McDormand is an American actress and producer. In a career spanning over four decades, she has gained acclaim for her roles in small-budget independent films. McDormand has received numerous accolades, including four Academy Awards, two Emmy Awards, and one Tony Award, making her one of the few performers to achieve the ""Triple Crown of Acting"". Additionally, she has received three BAFTAs and two Golden Globe Awards. McDormand's worldwide box office gross exceeds $2.2 billion."
Gregorio S. Araneta,"Don Gregorio Soriano Araneta was a Filipino lawyer, businessman, and nationalist, during the Spanish and American colonial periods."
Bradley Cooper,"Bradley Charles Cooper is an American actor and filmmaker. He is the recipient of various accolades, including a British Academy Film Award and two Grammy Awards. In addition, he has been nominated for twelve Academy Awards, six Golden Globe Awards, and a Tony Award. Cooper appeared on the Forbes Celebrity 100 list three times and on Time's list of the 100 most influential people in the world in 2015. His films have grossed $13 billion worldwide, and he has been placed in annual rankings of the world's highest-paid actors four times."
Chelsea Kane,"Chelsea Kane Staub is an American actress and singer. She is best known for her role as Stella Malone in the Disney Channel sitcom television series Jonas and the role of Riley Perrin in the Freeform sitcom, Baby Daddy. She also voiced Bea Goldfishberg in the Disney Channel animated sitcom Fish Hooks."
George W. Bush,"George Walker Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. A member of the Republican Party, he previously served as the 46th governor of Texas from 1995 to 2000."
John C. Calhoun,"John Caldwell Calhoun was an American statesman and political theorist who served as the seventh vice president of the United States from 1825 to 1832. Born in South Carolina, he adamantly defended American slavery and sought to protect the interests of white Southerners. Calhoun began his political career as a nationalist, modernizer and proponent of a strong federal government and protective tariffs. In the late 1820s, his views changed radically, and he became a leading proponent of states' rights, limited government, nullification, and opposition to high tariffs. Calhoun saw Northern acceptance of those policies as a condition of the South's remaining in the Union. His beliefs heavily influenced the South's secession from the Union in 1860 and 1861. He was the first of two vice presidents to resign from the position, the second being Spiro Agnew, who resigned in 1973."
René Préval,"René Garcia Préval was a Haitian politician and agronomist who twice was President of Haiti, from early 1996 to early 2001, and again from mid-2006 to mid-2011. He was also Prime Minister from early to late 1991 under the presidency of Jean-Bertrand Aristide."
Hubert Humphrey,"Hubert Horatio Humphrey Jr. was an American politician and statesman who served as the 38th vice president of the United States from 1965 to 1969. He twice served in the United States Senate, representing Minnesota from 1949 to 1964 and 1971 to 1978. As a senator he was a major leader of modern liberalism in the United States. As President Lyndon B. Johnson's vice president, he supported the controversial Vietnam War. An intensely divided Democratic Party nominated him in the 1968 presidential election, which he lost to Republican nominee Richard Nixon."
